CustCode	Name	Date of Birth	Postcode	Validuntil
C1959Bris	Chee Jorge Samson	10/02/1997	4053	
C1961Bris	Robert Sacks Romero	14/04/1974	4010	
C1969Bris	Aleck Chia Saha	18/10/1957	4117	
C196Bris	Matthew Tang Chan	9/08/1966	4058	
C1973Bris	Tsz Munajat Saha	18/04/1952	4130	
C1976Bris	Woo-Jung Cao Salim	13/03/1958	4080	
C1977Bris	Yingshuang John Sangsurane	19/06/1951	4066	
C1978Bris	Bin Kin Sangsurane	31/05/1963	4155	
C1979Bris	Eddie Francis Salim	11/06/1999	4108	
C197Bris	Shenn Moon Chan	7/09/1999	4089	
C1980Bris	Maree Cao Sau	25/06/1954	4002	
C1981Bris	Miu Gerald Sau	8/10/1993	4076	
C1982Bris	Robert Ling Sangsurane	16/08/1996	4047	
C1984Bris	Charles Mulki Sam	27/03/1949	4114	
C1985Bris	Hong-Lim Jun Sanjaya	28/03/1971	4028	
C1986Bris	Lingjie David Schmidt	4/02/1949	4044	
C1989Bris	Lillian Sung-Chit Schmidt	25/07/1998	4071	
C198Bris	Yu Sie Chai	6/11/1952	4063	
C1992Bris	Jingyi Zhai Sankranti	27/08/1978	4026	
C1996Bris	Lye Kooy Septina	4/05/1960	4141	
C1997Bris	Ruichen Ruth Scully	19/10/1965	4118	
C199Bris	Anne Paul Chan	30/01/1995	4036	
C2000Bris	Ankur Raso Setiawan	7/06/1953	4058	
C2002Bris	Bei Yu Shah	25/12/1999	4073	
C2003Bris	Serey Meng Seah	8/12/1999	4121	
C2005Bris	Tou Li Shah	2/04/1982	4044	
C2008Bris	Elvie Elizabeth Shakespeare	30/11/1990	4011	
C2009Bris	Zhenya Ngu Shek	30/10/1956	4013	
C200Bris	Brianna Sachdeva Chan	8/12/1954	4068	20/05/2017
C200Bris	Brianna Sachdeva Chan	8/12/1954	4020	
C2010Bris	Michael Fuad Shakespeare	2/08/1992	4114	
C2011Bris	Yongky Tokura Shek	10/08/1984	4114	
C2012Bris	Santiago Brian Shek	17/10/1975	4063	
C2014Bris	Tsu Tanujaya Shek	5/05/1957	4007	
C201Bris	Muhamad Wei-Yang Chak	13/02/1991	4073	
C2022Bris	Samant Poon Shi	22/03/1952	4137	
C2026Bris	Katie Leo Shi	29/06/1960	4086	
C2029Bris	Meng Naseer Shi	15/01/1956	4056	
C2030Bris	Anjan Kian Shin	31/07/1961	4027	
C2031Bris	Danni Wang Shi	12/08/1999	4036	
C2032Bris	Shirley Yeh Shuen	12/03/1974	4121	
C2033Bris	Scott Man Shuen	18/08/1972	4031	
C2034Bris	Xueqiang Diep Shi	26/10/1999	4014	
C2035Bris	Sherly Bhandari Shi	30/11/1993	4047	
C2037Bris	Hong Cheong Shi	9/04/1954	4100	
C2038Bris	Yue Li Shuen	18/12/1951	4138	
C2039Bris	Atlarelang Alexander Shi	30/06/1949	4063	
C203Bris	Yanni Samarasekera Chan	29/12/1998	4130	
C2042Bris	Tristram Wah Shuen	27/10/1954	4063	
C2045Bris	Oliver Yan Siah	5/02/1999	4062	
C2049Bris	Mengxue Ji Siourthas	23/01/1958	4062	
C204Bris	Chor Gan Chak	16/04/1955	4137	
C2050Bris	Arnab Louise Siah	26/06/1998	4029	
C2053Bris	Ying Henry Siah	25/06/1975	4106	
C2055Bris	Nan Kit Siourthas	13/01/1955	4014	
C2056Bris	Andrew Yi Sibbing	4/08/1972	4105	
C2058Bris	Lachlan Koay Siourthas	15/10/1996	4021	
C205Bris	Pongphat Herszfeld Chan	10/02/1950	4107	
C2061Bris	Dinni Moss Siu	9/07/1972	4004	
C2062Bris	Raymond Sze Sibbing	8/06/1975	4129	
C2063Bris	Victoria Dale Siu	19/06/1999	4069	
C2064Bris	Chong Wilmot Siddique	28/10/1952	4019	
C2065Bris	Jaime Boon Smith	11/10/1971	4088	
C2067Bris	Henry Sasha Smith	17/06/1953	4076	
C2075Bris	Leon Chen Sidharta	29/05/1981	4135	
C2079Bris	Mark Kearney Soni	26/04/1982	4112	
