CustCode	Name	Date of Birth	Postcode	Validuntil
C1157Melb	Timothy Fuad Lai	18/12/1953	3052	
C1158Melb	Rahul Herszfeld Lai	14/05/1955	3040	
C115Melb	Amalie Yuen Benjamin	12/10/1992	3053	
C1161Melb	Igor Goh Lambert	24/01/1967	3053	
C1163Melb	Kennis Leik Lambert	26/06/1975	3052	
C1164Melb	Xin Renwick Lai	22/10/1992	3056	
C1166Melb	Yingshuang Braun Lai	19/06/1956	3072	
C1169Melb	Manuja Wanzee Lau	21/10/1956	3052	
C1170Melb	Nelson Heng Lam	29/09/1974	3005	
C1171Melb	Jennifer Siau Lau	2/05/1998	3040	
C1172Melb	Xun Victor Lam	6/04/1967	3065	
C1173Melb	Chris Jin Lam	5/01/1973	3052	
C1175Melb	Mansoor Ng Lau	11/08/1952	3053	
C117Melb	Bei Nicholas Berlin	18/07/1990	3068	
C1182Melb	Nga Chan Lau	16/12/1998	3040	
C1186Melb	Meera Teh Law	18/09/1991	3068	
C1189Melb	Hock Lu Law	30/05/1953	3005	
C118Melb	Gagan Kaur Benjamin	7/08/1963	3052	
C1190Melb	Blake Nath Law	28/04/1988	3O56	
C1191Melb	Chandra Lewis Lawrence	16/02/1981	3175	
C1192Melb	Janet Yin Law	3/07/1967	3052	
C1193Melb	Rusol Chintan Law	11/08/1952	3040	
C1194Melb	Weihao DelCiotto Lawrence	19/01/1985	3040	
C1195Melb	Audie Thai Lawrence	9/11/1956	3005	
C1197Melb	Bo Beverly Law	11/07/1989	3002	
C1198Melb	Deepam Sanjaya Lawrence	8/01/1988	3053	
C1199Melb	Boon Wiltshire Lawrence	22/04/1948	3040	
C1201Melb	Alice Man Lawrence	24/05/1961	3070	
C1204Melb	Yeong Fook Le	6/11/1998	3040	
C1208Melb	Alice Zoma Lee	4/05/1952	3052	
C1209Melb	Jamie Cottrell Lee	18/12/1954	3070	
C120Melb	Perren The Benjamin	9/06/1951	3040	
C1212Melb	Peijia Andrew Lee	28/01/1995	3053	
C1214Melb	Robert Kurane Lee	29/10/1999	3040	
C1215Melb	Chang Clare Lee	28/11/1971	3175	
C1217Melb	Vinoth Yarwood Lee	25/10/1999	3040	
C1220Melb	I-Jane Liu Lee	19/12/1970	3175	
C1221Melb	Kai Yuli Lee	2/07/1998	3056	
C1222Melb	Waleed Villagomez Lee	6/06/1964	3065	
C1223Melb	Robert Fook Lee	2/09/1960	3002	
C1224Melb	Boon Kuang-Fu Lee	14/01/1968	3053	
C1226Melb	Julio May Lee	16/06/1957	3052	
C1234Melb	Stewart Hoa Lee	10/01/1985	3052	
C1238Melb	Nidah Yeh Lee	22/07/1990	3040	
C123Melb	Atlarelang Chandra Bensted	23/09/1960	3002	
C3622Melb	Anjan Chen	19/01/1950	3040	
C3629Melb	Yu Harun	29/08/1950	3053	
C3658Melb	Xiaojia Jay	29/04/1959	3070	
C3659Melb	Zheo Zhou	11/04/1991	3170	
C3663Melb	Lingjie Menting	1/12/1958	3002	
C3667Melb	Leo Gray	3/05/1993	3070	
